"State","Year","Rate"
"Alabama","2013",7.3
"Alabama","2014",6.7
"Alabama","2015",6.1
"Alabama","2016",5.9
"Alabama","2017",4.5
"Alabama","2018",3.9
"Alabama","2019",3.2
"Alabama","2020",6.5
"Alabama","2021",3.5
"Alabama","2022",3
"Alaska","2013",7
"Alaska","2014",6.7
"Alaska","2015",6.3
"Alaska","2016",6.6
"Alaska","2017",6.5
"Alaska","2018",6
"Alaska","2019",5.5
"Alaska","2020",8.3
"Alaska","2021",6.4
"Alaska","2022",5.3
"Arizona","2013",7.8
"Arizona","2014",6.8
"Arizona","2015",6.1
"Arizona","2016",5.5
"Arizona","2017",5
"Arizona","2018",4.8
"Arizona","2019",4.9
"Arizona","2020",7.7
"Arizona","2021",5
"Arizona","2022",3.5
"Arkansas","2013",7
"Arkansas","2014",5.9
"Arkansas","2015",5
"Arkansas","2016",4
"Arkansas","2017",3.7
"Arkansas","2018",3.6
"Arkansas","2019",3.5
"Arkansas","2020",6.1
"Arkansas","2021",4.1
"Arkansas","2022",3.1
"California","2013",9
"California","2014",7.6
"California","2015",6.2
"California","2016",5.5
"California","2017",4.8
"California","2018",4.3
"California","2019",4.1
"California","2020",10.3
"California","2021",7.4
"California","2022",5.3
"Colorado","2013",6.8
"Colorado","2014",5
"Colorado","2015",3.7
"Colorado","2016",3.1
"Colorado","2017",2.6
"Colorado","2018",3
"Colorado","2019",2.6
"Colorado","2020",6.9
"Colorado","2021",5.4
"Colorado","2022",4
"Connecticut","2013",8
"Connecticut","2014",6.6
"Connecticut","2015",5.6
"Connecticut","2016",4.9
"Connecticut","2017",4.4
"Connecticut","2018",3.9
"Connecticut","2019",3.5
"Connecticut","2020",7.8
"Connecticut","2021",6.3
"Connecticut","2022",4.9
"Delaware","2013",6.6
"Delaware","2014",5.6
"Delaware","2015",4.8
"Delaware","2016",4.5
"Delaware","2017",4.5
"Delaware","2018",3.8
"Delaware","2019",3.7
"Delaware","2020",7.6
"Delaware","2021",5.4
"Delaware","2022",4.6
"Florida","2013",7.5
"Florida","2014",6.4
"Florida","2015",5.5
"Florida","2016",4.9
"Florida","2017",4.3
"Florida","2018",3.7
"Florida","2019",3.2
"Florida","2020",8.3
"Florida","2021",4.6
"Florida","2022",3.3
"Georgia","2013",8.1
"Georgia","2014",7.1
"Georgia","2015",6.1
"Georgia","2016",5.5
"Georgia","2017",4.8
"Georgia","2018",4
"Georgia","2019",3.6
"Georgia","2020",6.5
"Georgia","2021",3.9
"Georgia","2022",3.2
"Hawaii","2013",4.8
"Hawaii","2014",4.2
"Hawaii","2015",3.4
"Hawaii","2016",2.9
"Hawaii","2017",2.2
"Hawaii","2018",2.4
"Hawaii","2019",2.4
"Hawaii","2020",12
"Hawaii","2021",5.8
"Hawaii","2022",4.2
"Idaho","2013",6.8
"Idaho","2014",4.4
"Idaho","2015",3.9
"Idaho","2016",3.7
"Idaho","2017",3.2
"Idaho","2018",2.9
"Idaho","2019",3
"Idaho","2020",5.5
"Idaho","2021",3.6
"Idaho","2022",2.8
"Illinois","2013",9.1
"Illinois","2014",7.2
"Illinois","2015",6
"Illinois","2016",5.9
"Illinois","2017",5
"Illinois","2018",4.4
"Illinois","2019",3.9
"Illinois","2020",9.2
"Illinois","2021",6.1
"Illinois","2022",4.8
"Indiana","2013",7.5
"Indiana","2014",6
"Indiana","2015",4.8
"Indiana","2016",4.4
"Indiana","2017",3.5
"Indiana","2018",3.4
"Indiana","2019",3.3
"Indiana","2020",7.3
"Indiana","2021",3.6
"Indiana","2022",2.3
"Iowa","2013",4.7
"Iowa","2014",4.2
"Iowa","2015",3.7
"Iowa","2016",3.6
"Iowa","2017",3.1
"Iowa","2018",2.5
"Iowa","2019",2.6
"Iowa","2020",5.2
"Iowa","2021",4.3
"Iowa","2022",3.5
"Kansas","2013",5.3
"Kansas","2014",4.5
"Kansas","2015",4.2
"Kansas","2016",4
"Kansas","2017",3.6
"Kansas","2018",3.3
"Kansas","2019",3.1
"Kansas","2020",5.7
"Kansas","2021",3.3
"Kansas","2022",2.5
"Kentucky","2013",7.9
"Kentucky","2014",6.4
"Kentucky","2015",5.2
"Kentucky","2016",5
"Kentucky","2017",4.8
"Kentucky","2018",4.2
"Kentucky","2019",4.1
"Kentucky","2020",6.4
"Kentucky","2021",4.7
"Kentucky","2022",4.2
"Louisiana","2013",6.4
"Louisiana","2014",6.2
"Louisiana","2015",6.3
"Louisiana","2016",6.1
"Louisiana","2017",5.1
"Louisiana","2018",4.8
"Louisiana","2019",4.6
"Louisiana","2020",8.8
"Louisiana","2021",5.5
"Louisiana","2022",4.3
"Maine","2013",6.7
"Maine","2014",5.6
"Maine","2015",4.4
"Maine","2016",3.8
