"","State","2017","2018","2019","2021","2022"
"1","Alabama",4.5,3.9,3.2,3.5,3
"2","Alaska",6.5,6,5.5,6.4,5.3
"3","Arizona",5,4.8,4.9,5,3.5
"4","Arkansas",3.7,3.6,3.5,4.1,3.1
"5","California",4.8,4.3,4.1,7.4,5.3
"6","Colorado",2.6,3,2.6,5.4,4
"7","Connecticut",4.4,3.9,3.5,6.3,4.9
"8","Delaware",4.5,3.8,3.7,5.4,4.6
"9","District of Columbia",6.1,5.7,5.3,6.7,6.1
"10","Florida",4.3,3.7,3.2,4.6,3.3
"11","Georgia",4.8,4,3.6,3.9,3.2
"12","Hawaii",2.2,2.4,2.4,5.8,4.2
"13","Idaho",3.2,2.9,3,3.6,2.8
"14","Illinois",5,4.4,3.9,6.1,4.8
"15","Indiana",3.5,3.4,3.3,3.6,2.3
"16","Iowa",3.1,2.5,2.6,4.3,3.5
"17","Kansas",3.6,3.3,3.1,3.3,2.5
"18","Kentucky",4.8,4.2,4.1,4.7,4.2
"19","Louisiana",5.1,4.8,4.6,5.5,4.3
"20","Maine",3.4,3.1,2.8,4.6,3.9
"21","Maryland",4,3.7,3.4,5.8,5
"22","Massachusetts",3.8,3.5,3.1,5.8,4.6
"23","Michigan",4.6,4.2,4.1,5.9,4.7
"24","Minnesota",3.5,3.1,3.4,3.4,2.7
"25","Mississippi",5.2,5,5.4,5.6,4.4
"26","Missouri",3.7,3.2,3.1,4.4,3.7
"27","Montana",4.1,3.8,3.6,3.4,2.5
"28","Nebraska",3,2.9,3,2.5,2.1
"29","Nevada",5,4.4,4,7.2,5.1
"30","New Hampshire",2.8,2.6,2.6,3.5,2.7
"31","New Jersey",4.5,4,3.4,6.4,4.6
"32","New Mexico",6,4.9,4.9,6.8,5.6
"33","New York",4.6,4.1,3.8,7,4.9
"34","North Carolina",4.5,4,3.8,4.8,3.7
"35","North Dakota",2.6,2.4,2.1,3.7,3
"36","Ohio",5,4.5,4.2,5.2,4.2
"37","Oklahoma",4,3.3,3.1,3.9,2.7
"38","Oregon",4.1,4,3.7,5.2,4
"39","Pennsylvania",5,4.4,4.5,6.4,5.1
"40","Rhode Island",4.5,4.1,3.6,5.7,3.8
"41","South Carolina",4.2,3.4,2.8,4,3.5
"42","South Dakota",3,2.8,2.8,3.1,2.6
"43","Tennessee",3.8,3.5,3.4,4.3,3.4
"44","Texas",4.3,3.9,3.5,5.7,4.6
"45","Utah",3.2,2.9,2.6,2.7,2.1
"46","Vermont",3,2.6,2.3,3.5,2.9
"47","Virginia",3.7,3,2.8,3.9,3.2
"48","Washington",4.6,4.4,4.3,5.3,4.3
"49","West Virginia",5.2,5.2,4.9,5.1,3.9
"50","Wisconsin",3.3,3,3.2,3.8,2.9
"51","Wyoming",4.3,4,3.8,4.5,3.6
