"","State","Year","Rate"
"1","Alabama","2017",4.5
"2","Alabama","2018",3.9
"3","Alabama","2019",3.2
"4","Alabama","2020",6.5
"5","Alabama","2021",3.5
"6","Alabama","2022",3
"7","Alaska","2017",6.5
"8","Alaska","2018",6
"9","Alaska","2019",5.5
"10","Alaska","2020",8.3
"11","Alaska","2021",6.4
"12","Alaska","2022",5.3
"13","Arizona","2017",5
"14","Arizona","2018",4.8
"15","Arizona","2019",4.9
"16","Arizona","2020",7.7
"17","Arizona","2021",5
"18","Arizona","2022",3.5
"19","Arkansas","2017",3.7
"20","Arkansas","2018",3.6
"21","Arkansas","2019",3.5
"22","Arkansas","2020",6.1
"23","Arkansas","2021",4.1
"24","Arkansas","2022",3.1
"25","California","2017",4.8
"26","California","2018",4.3
"27","California","2019",4.1
"28","California","2020",10.3
"29","California","2021",7.4
"30","California","2022",5.3
"31","Colorado","2017",2.6
"32","Colorado","2018",3
"33","Colorado","2019",2.6
"34","Colorado","2020",6.9
"35","Colorado","2021",5.4
"36","Colorado","2022",4
"37","Connecticut","2017",4.4
"38","Connecticut","2018",3.9
"39","Connecticut","2019",3.5
"40","Connecticut","2020",7.8
"41","Connecticut","2021",6.3
"42","Connecticut","2022",4.9
"43","Delaware","2017",4.5
"44","Delaware","2018",3.8
"45","Delaware","2019",3.7
"46","Delaware","2020",7.6
"47","Delaware","2021",5.4
"48","Delaware","2022",4.6
"49","Florida","2017",4.3
"50","Florida","2018",3.7
"51","Florida","2019",3.2
"52","Florida","2020",8.3
"53","Florida","2021",4.6
"54","Florida","2022",3.3
"55","Georgia","2017",4.8
"56","Georgia","2018",4
"57","Georgia","2019",3.6
"58","Georgia","2020",6.5
"59","Georgia","2021",3.9
"60","Georgia","2022",3.2
"61","Hawaii","2017",2.2
"62","Hawaii","2018",2.4
"63","Hawaii","2019",2.4
"64","Hawaii","2020",12
"65","Hawaii","2021",5.8
"66","Hawaii","2022",4.2
"67","Idaho","2017",3.2
"68","Idaho","2018",2.9
"69","Idaho","2019",3
"70","Idaho","2020",5.5
"71","Idaho","2021",3.6
"72","Idaho","2022",2.8
"73","Illinois","2017",5
"74","Illinois","2018",4.4
"75","Illinois","2019",3.9
"76","Illinois","2020",9.2
"77","Illinois","2021",6.1
"78","Illinois","2022",4.8
"79","Indiana","2017",3.5
"80","Indiana","2018",3.4
"81","Indiana","2019",3.3
"82","Indiana","2020",7.3
"83","Indiana","2021",3.6
"84","Indiana","2022",2.3
"85","Iowa","2017",3.1
"86","Iowa","2018",2.5
"87","Iowa","2019",2.6
"88","Iowa","2020",5.2
"89","Iowa","2021",4.3
"90","Iowa","2022",3.5
"91","Kansas","2017",3.6
"92","Kansas","2018",3.3
"93","Kansas","2019",3.1
"94","Kansas","2020",5.7
"95","Kansas","2021",3.3
