"","State","Year","Rate"
"1","Alabama","2017",4.5
"2","Alabama","2018",3.9
"3","Alabama","2019",3.2
"4","Alabama","2021",3.5
"5","Alabama","2022",3
"6","Alaska","2017",6.5
"7","Alaska","2018",6
"8","Alaska","2019",5.5
"9","Alaska","2021",6.4
"10","Alaska","2022",5.3
"11","Arizona","2017",5
"12","Arizona","2018",4.8
"13","Arizona","2019",4.9
"14","Arizona","2021",5
"15","Arizona","2022",3.5
"16","Arkansas","2017",3.7
"17","Arkansas","2018",3.6
"18","Arkansas","2019",3.5
"19","Arkansas","2021",4.1
"20","Arkansas","2022",3.1
"21","California","2017",4.8
"22","California","2018",4.3
"23","California","2019",4.1
"24","California","2021",7.4
"25","California","2022",5.3
"26","Colorado","2017",2.6
"27","Colorado","2018",3
"28","Colorado","2019",2.6
"29","Colorado","2021",5.4
"30","Colorado","2022",4
"31","Connecticut","2017",4.4
"32","Connecticut","2018",3.9
"33","Connecticut","2019",3.5
"34","Connecticut","2021",6.3
"35","Connecticut","2022",4.9
"36","Delaware","2017",4.5
"37","Delaware","2018",3.8
"38","Delaware","2019",3.7
"39","Delaware","2021",5.4
"40","Delaware","2022",4.6
"41","District of Columbia","2017",6.1
"42","District of Columbia","2018",5.7
"43","District of Columbia","2019",5.3
"44","District of Columbia","2021",6.7
"45","District of Columbia","2022",6.1
"46","Florida","2017",4.3
"47","Florida","2018",3.7
"48","Florida","2019",3.2
"49","Florida","2021",4.6
"50","Florida","2022",3.3
"51","Georgia","2017",4.8
"52","Georgia","2018",4
"53","Georgia","2019",3.6
"54","Georgia","2021",3.9
"55","Georgia","2022",3.2
"56","Hawaii","2017",2.2
"57","Hawaii","2018",2.4
"58","Hawaii","2019",2.4
"59","Hawaii","2021",5.8
"60","Hawaii","2022",4.2
"61","Idaho","2017",3.2
"62","Idaho","2018",2.9
"63","Idaho","2019",3
"64","Idaho","2021",3.6
"65","Idaho","2022",2.8
"66","Illinois","2017",5
"67","Illinois","2018",4.4
"68","Illinois","2019",3.9
"69","Illinois","2021",6.1
"70","Illinois","2022",4.8
"71","Indiana","2017",3.5
"72","Indiana","2018",3.4
"73","Indiana","2019",3.3
"74","Indiana","2021",3.6
"75","Indiana","2022",2.3
"76","Iowa","2017",3.1
"77","Iowa","2018",2.5
"78","Iowa","2019",2.6
"79","Iowa","2021",4.3
"80","Iowa","2022",3.5
"81","Kansas","2017",3.6
"82","Kansas","2018",3.3
"83","Kansas","2019",3.1
"84","Kansas","2021",3.3
"85","Kansas","2022",2.5
"86","Kentucky","2017",4.8
"87","Kentucky","2018",4.2
"88","Kentucky","2019",4.1
"89","Kentucky","2021",4.7
"90","Kentucky","2022",4.2
"91","Louisiana","2017",5.1
"92","Louisiana","2018",4.8
"93","Louisiana","2019",4.6
